found in
in our
our dominions
dominions the
the moment
moment is
is thy
thy death
death away
away by
by jupiter
jupiter this
this shall
shall not
not be
be revoked
revoked kent
kent fare
fare thee
thee well
well king
king sith
sith thus
thus thou
thou wilt
wilt appear
appear freedom
freedom lives
lives hence
hence and
and banishment
banishment is
is here
here to
to cordelia
cordelia the
the gods
gods to
to their
their dear
dear shelter
shelter take
take thee
thee maid
maid that
that justly
justly and
and hast
hast most
most rightly
rightly said
said to
to regan
regan and
and goneril
goneril and
and your
your large
large speeches
speeches may
may your
your deeds
deeds approve
approve that
that good
good effects
effects may
may spring
spring from
from words
words of
of love
love thus
thus kent
kent princes
princes bids
bids you
you all
all adieu
adieu shape
shape his
his old
old course
course in
in country
country new
new exit
exit flourish
flourish re
re enter
enter gloucester
gloucester with
with king
king of
of france
france burgundy
burgundy and
and attendants
attendants gloucester
gloucester france
france and
and burgundy
burgundy my
my noble
noble lord
lord king
king lear
lear my
my lord
lord of
of burgundy
burgundy we
we first
first address
address towards
towards you
you who
who with
with this
this king
king hath
hath for
for our
our daughter
daughter what
what in
in the
the least
least will
will you
you require
require in
in present
present dower
dower with
with her
her or
or cease
cease your
your quest
quest of
of love
love burgundy
burgundy most
most royal
royal majesty
majesty crave
crave no
no more
more than
than what
what your
your highness
highness nor
nor will
will you
you tender
tender less
less king
king lear
lear right
right noble
noble burgundy
burgundy when
when she
she was
was dear
dear to
to us
us we
we did
did hold
hold her
her so
so but
but now
now her
her price
price is
is sir
sir there
there she
she stands
stands if
if aught
aught within
within that
that little
little seeming
seeming substance
substance or
or all
all of
of it
it with
with our
our displeasure
displeasure pieced
pieced and
and nothing
nothing more
more may
may fitly
fitly like
like your
your grace
grace there
there and
and she
she is
is yours
yours burgundy
burgundy know
know no
no answer
answer king
king lear
lear will
will you
you with
with those
those infirmities
infirmities she
she owes
owes unfriended
unfriended new
new adopted
adopted to
to our
our hate
hate with
with our
our curse
curse and
and with
with our
our oath
oath take
take her
her or
or leave
leave her
her burgundy
burgundy pardon
pardon me
me royal
royal sir
sir election
election makes
makes not
not up
up on
on such
such conditions
conditions king
king lear
lear then
then leave
leave her
her sir
sir for
for by
by the
the power
power that
that made
made me
me tell
tell you
you all
all her
her wealth
wealth to
to king
king of
of france
france for
for you
you great
great king
king would
would not
not from
from your
your love
love make
make such
such stray
stray to
to match
match you
you where
where hate
hate therefore
therefore beseech
beseech you
you to
to avert
avert your
your liking
liking more
more worthier
worthier way
way than
than on
on wretch
wretch whom
whom nature
nature is
is ashamed
ashamed almost
almost to
to acknowledge
acknowledge hers
hers king
king of
of france
france this
this is
is most
most strange
strange that
that she
she that
that even
even but
but now
now was
was your
your best
best object
object the
the argument
argument of
of your
your praise
praise balm
balm of
of your
your age
age most
most best
best most
most dearest
dearest should
should in
in this
this trice
trice of
of time
time commit
commit thing
thing so
so monstrous
monstrous to
to dismantle
dismantle so
so many
many folds
folds of
of favour
favour sure
sure her
her offence
offence must
must be
be of
of such
such unnatural
unnatural degree
degree that
that monsters
monsters it
it or
or your
your fore
fore affection
affection into
into taint
taint which
which to
to believe
believe of
of her
her must
must be
be faith
faith that
that reason
reason without
without miracle
miracle could
could never
never plant
plant in
in me
me cordelia
cordelia yet
yet beseech
beseech your
your majesty
majesty if
if for
for want
want that
that glib
glib and
and oily
oily art
art to
to speak
speak and
and purpose
purpose not
not since
since what
what well
well intend
intend before
before speak
speak that
that you
you make
make known
known it
it is
is no
no vicious
vicious blot
blot murder
murder or
or foulness
foulness no
no unchaste
unchaste action
action or
or step
step that
that hath
hath deprived
deprived me
me of
of your
your grace
grace and
and favour
favour but
but even
even for
for want
want of
of that
that for
for which
which am
am richer
richer still
still soliciting
soliciting eye
eye and
and such
such tongue
tongue as
as am
am glad
glad have
have not
not though
though not
not to
to have
have it
it hath
hath lost
lost me
me in
in your
your liking
liking king
king lear
lear better
better thou
thou hadst
hadst not
not been
been born
born than
than not
not to
to have
have pleased
pleased me
me better
better king
king of
of france
france is
is it
it but
but this
this tardiness
tardiness in
in nature
nature which
which often
often leaves
leaves the
the history
history unspoke
unspoke that
that it
it intends
intends to
to do
do my
my lord
lord of
of burgundy
burgundy what
what say
say you
you to
to the
the lady
lady not
not love
love when
when it
it is
is mingled
mingled with
with regards
regards that
that stand
stand aloof
aloof from
from the
the entire
entire point
point will
will you
you have
have her
her she
she is
is herself
herself dowry
dowry burgundy
burgundy royal
royal lear
lear give
give but
but that
that portion
portion which
which yourself
yourself proposed
proposed and
and here
here take
take cordelia
cordelia by
by the
the hand
hand duchess
duchess of
of burgundy
burgundy king
king lear
lear nothing
nothing have
have sworn
sworn am
am firm
firm burgundy
burgundy am
am sorry
sorry then
then you
you have
have so
so lost
lost father
father that
that you
you must
must lose
lose husband
husband cordelia
cordelia peace
peace be
be with
with burgundy
burgundy since
since that
that respects
respects of
of fortune
fortune are
are his
his love
love shall
shall not
not be
be his
his wife
wife king
king of
of france
france fairest
fairest cordelia
cordelia that
that art
art most
most rich
rich being
being poor
poor most
most choice
choice forsaken
forsaken and
and most
most loved
loved despised
despised thee
